f1,f2,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6
9.463717103004456,2.912615,"[26, 17, 0, 25, 18, 9, 6, 15, 21]","[20, 4, 24, 30, 11, 12, 33, 39, 31, 1, 3, 7, 28, 38, 2]","[23, 35, 34, 16, 8, 36]","[29, 13, 14, 27, 37, 5, 10, 32]","[19, 22]",[]
9.874599575996399,2.0589576,"[15, 6, 18, 25, 0, 17, 26]","[29, 9, 4, 24, 30, 11, 12, 28, 38]","[1, 3, 7, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13, 35]","[5, 37, 14, 27, 10]","[32, 19, 22, 21]"
9.505066752433777,2.4405043,"[26, 17, 0, 25, 18, 4, 6, 15]","[38, 28, 11, 9, 29]","[33, 23, 1, 3, 7, 12, 24, 30]","[21, 20, 2, 8, 16, 34, 13, 35]","[10, 19, 22, 32]","[39, 31, 14, 27, 37, 5, 36]"
9.902090549468994,2.0589576,"[15, 18, 25, 0, 17, 26]","[6, 4, 24, 30, 11, 12, 28, 9, 29]","[38, 7, 3, 1, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13, 35]","[5, 37, 14, 27, 10]","[32, 19, 22, 21]"
9.512181878089905,2.4405043,"[26, 17, 0, 25, 18, 15]","[6, 4, 24, 11, 28, 38, 9, 29]","[33, 23, 35, 13, 7, 3, 1, 12, 30]","[2, 8, 16, 34]","[10, 32, 19, 22, 21, 20]","[39, 31, 14, 27, 37, 5, 36]"
9.668759286403656,2.2609081,"[26, 17, 0, 25, 18, 9, 6, 15]","[4, 29]","[30, 24, 11, 28, 38, 7, 12]","[3, 1, 33, 23, 39, 31, 35, 20]","[2, 36, 8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.733043909072876,2.176178,"[26, 17, 0, 25, 18, 15]","[6, 4, 24, 30, 11, 12, 7, 28, 38, 9, 29]","[33, 23, 39, 31, 3, 1]","[20, 2, 36, 8, 16, 34, 35]","[13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.510974705219269,2.45547,"[15, 17, 0, 26]","[6, 18, 25, 4, 9, 29]","[30, 24, 11]","[12, 3, 1, 33, 23, 39, 31, 35, 7, 28, 38, 2, 20]","[8, 36, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.894375920295715,2.1053267,"[26, 17, 0, 25, 18, 9, 15]","[6, 4, 24, 30, 11, 7, 28, 38, 29]","[12, 1, 3, 35, 31, 39, 23, 33]","[20, 8, 16, 36, 2]","[10, 32, 21, 34, 13, 14, 27, 37, 5]","[19, 22]"
9.479249715805054,2.7322664,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[38, 12, 11, 30, 24, 4]","[33, 23, 35, 1, 3, 7, 28]","[20, 2, 8, 34, 13, 16, 10, 32, 19, 22]","[5, 37, 27, 14, 39, 31, 36, 21]",[]
9.51728792488575,2.4405043,[15],"[26, 17, 0, 25, 18, 4]","[11, 12, 3, 28, 38, 9, 29, 6, 24, 30]","[7, 1, 33, 23, 35, 13, 34, 16, 8, 2, 20, 21]","[10, 19, 22, 32]","[39, 31, 14, 27, 37, 5, 36]"
9.90652084350586,2.1257935,"[15, 17, 0, 25, 26]","[29, 9, 4, 18, 6]","[30, 24, 11, 28, 38, 7, 3, 12]","[1, 33, 23, 39, 31, 35]","[10, 32, 20, 2, 36, 8, 16, 34, 13, 14, 27, 37, 5]","[19, 22, 21]"
9.67335045337677,2.315701,"[15, 18, 25, 0, 17, 26]","[29, 9, 11, 30, 24, 4, 6]","[12, 7, 38, 28]","[3, 1, 33, 23, 39, 31, 35, 36, 2, 20]","[8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
